id,clee,nom_estab,raz_social,codigo_act,nombre_act,per_ocu,tipo_vial,nom_vial,tipo_v_e_1,nom_v_e_1,tipo_v_e_2,nom_v_e_2,tipo_v_e_3,nom_v_e_3,numero_ext,letra_ext,edificio,edificio_e,numero_int,letra_int,tipo_asent,nomb_asent,tipoCenCom,nom_CenCom,num_local,cod_postal,cve_ent,entidad,cve_mun,municipio,cve_loc,localidad,ageb,manzana,telefono,correoelec,www,tipoUniEco,latitud,longitud,fecha_alta
8624390,14120112512000022000000000O3,ACUACULTORES LOS CASTRO S.C. DE R.L. DE C.V.,ACUACULTORES LOS CASTRO SC DE RL DE CV,112512,"Piscicultura y otra acuicultura, excepto camaronicultura",0 a 5 personas,CIRCUITO,DE LAS CAÑAS,CALLE,MOLINOS DEL VALLE,CALLE,AV DE LA MANCHA,CALLE,SIN REFERENCIA,71,,,,0,,FRACCIONAMIENTO,FRACCIONAMIENTO LOS MOLINOS,,,,45200,14,Jalisco,120,Zapopan,430,Campestre las Palomas [Fraccionamiento]                                                                       ,6940,13,3317429415,ELDOTE@HOTMAIL.COM,,Fijo,20.8206615,-103.4467258,2019-11
7304494,14120115111000151000000000S8,AGROSERVICIOS DINAMICOS INTEGRALES,AGROSERVICIOS DINAMICOS INTEGRALES S DE RL DE CV,115111,Servicios de fumigación agrícola,0 a 5 personas,CALLE,AGUSTIN DE ITURBIDE,CALLE,ALLENDE,CALLE,LIBERTAD,CALLE,A OBREGÓN,120,,,,,,COLONIA,AGUA BLANCA SUR,,,,45235,14,Jalisco,120,Zapopan,1,Zapopan                                                                                                       ,4501,23,,,,Fijo,20.60121337,-103.4343408,2019-11
7304493,14120115111000142000000000M7,AGROSERVICIOS DINAMICOS INTEGRALES,AGROSERVICIOS DINAMICOS INTEGRALES S DE RL DE CV,115111,Servicios de fumigación agrícola,6 a 10 personas,CALLE,AGUSTIN DE ITURBIDE,CALLE,ALLENDE,CALLE,LIBERTAD,CALLE,A OBREGÓN,122,,,,,,COLONIA,AGUA BLANCA SUR,,,,45235,14,Jalisco,120,Zapopan,1,Zapopan                                                                                                       ,4501,23,,,,Fijo,20.60120308,-103.4342957,2019-11
7151634,14120115111000081000000000U7,AMBIENT,,115111,Servicios de fumigación agrícola,0 a 5 personas,CALLE,LOCAL A,AVENIDA,GUADALUPE,CALLE,NINGUNO,PROLONGACION,MARIANO OTERO,34,,,,0,,COLONIA,VALLE DE SAN NICOLAS,,,,45066,14,Jalisco,120,Zapopan,1,Zapopan                                                                                                       ,5340,14,3311115050,VENTAS@AMBIENTFUMIGACIONES.COM,WWW.AMBIENTFUMIGACIONES.COM,Fijo,20.62776615,-103.4604948,2019-11
8605734,14120115113000053000000000U2,DESHUESADERO DE COCO,,115113,Beneficio de productos agrícolas,11 a 30 personas,AVENIDA,22 DE JUNIO,CALLE,NINGUNO,PRIVADA,22 DE JUNIO,CALLE,NINGUNO,360,A,,,0,,COLONIA,INDIGENA DE MEZQUITAN,,,,45190,14,Jalisco,120,Zapopan,1,Zapopan                                                                                                       ,3113,1,,DULCESDECOCOPALMAR@HOTMAIL.COM,,Fijo,20.73972798,-103.3304008,2019-11
8149466,14120114119000014000000000O2,"DON LUPE XV, S.C. DE R.L. DE C.V.",,114119,"Pesca y captura de peces, crustáceos, moluscos y otras especies",11 a 30 personas,CALLE,PUERTO ACAPULCO,CALLE,PUERTO TOPOLOBAMPO,CALLE,PUERTO MARQUUS,CALLE,PUERTO VALLARTA,133,,,,0,,COLONIA,MIRAMAR,,,,45060,14,Jalisco,120,Zapopan,1,Zapopan                                                                                                       ,4592,20,3310812763,LOURDESGR@LIVE.COM.MX,,Fijo,20.63972697,-103.4566057,2019-11
8611738,14120112512000031000000000O4,"GRANJA ACUÍCOLA NEXTIPAC, S.C. DE R.L. DE C.V.",GRANJA ACUICOLA NEXTIPAC SC DE RL DE CV,112512,"Piscicultura y otra acuicultura, excepto camaronicultura",0 a 5 personas,CALLE,HIDALGO,CARRETERA,A SANTA LUCIA,OTRO (ESPECIFIQUE),TERRENOS DE SIEMBRA,OTRO (ESPECIFIQUE),TERRENOS DE SIEMBRA,2000,,,,0,,PUEBLO,PUEBLO NEXTIPAC,,,,45220,14,Jalisco,120,Zapopan,139,Nextipac                                                                                                      ,5980,24,3312833970,ROCHE2000@YAHOO.COM,,Fijo,20.76364616,-103.526425,2019-11
8443609,14120112512000013000000000U2,"PISCICULTURA Y OTRA ACUICULTURA, EXCEPTO CAMARONICULTURA",,112512,"Piscicultura y otra acuicultura, excepto camaronicultura",11 a 30 personas,AVENIDA,PASEO SAN LUIS,CALLE,PASEO SAN FERNANDO,CALLE,PASEO SAN GILBERTO,CALLE,PASEO SAN ARTURO,2193,,,,0,,COLONIA,VALLE REAL,,,,45019,14,Jalisco,120,Zapopan,1,Zapopan                                                                                                       ,6762,11,,DALIA_GALVAN@HOTMAIL.COM,,Fijo,20.72545647,-103.4424872,2019-11
9021366,14120115111000092000000000U4,PROSISA,PROCISA SA DE CV,115111,Servicios de fumigación agrícola,6 a 10 personas,CALLE,MARMOL,CALLE,TURMALINA,CALLE,BELISARIO DOMINGUEZ,CALLE,GRANITO,2220,A,,,,,COLONIA,MARIANO OTERO,,,,45067,14,Jalisco,120,Zapopan,1,Zapopan                                                                                                       ,2384,24,,,,Fijo,20.63150585,-103.4494485,2019-11
7593469,14120115111000121000000000U1,RATICIDAS URBANOS Y AGRICOLAS SIN NOMBRE,,115111,Servicios de fumigación agrícola,0 a 5 personas,CALLE,HIDALGO,CALLE,VICENTE GUERRERO,CALLE,ALDAMA,CALLE,16 DE SEPTIEMBRE,312,,,,,,COLONIA,ZAPOPAN CENTRO,,,,45100,14,Jalisco,120,Zapopan,1,Zapopan                                                                                                       ,405,16,,,,Fijo,20.72237459,-103.3943097,2019-11
